Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
05:15 - 05:30,58.05,180.00,160.00,123.34,123.34,125.52,119.92,777.3,859.4,818.4,2025-02-11
05:30 - 05:45,84.45,195.50,160.02,131.53,131.53,139.29,132.08,841.3,877.4,859.4,2025-02-11
05:45 - 06:00,88.44,435.25,130.00,142.68,142.68,146.94,141.55,1088.6,983.8,1036.2,2025-02-11
06:00 - 06:15,55.92,174.07,131.95,122.39,122.39,145.83,129.63,1090.3,1261.1,1175.7,2025-02-11
06:15 - 06:30,92.42,205.72,140.00,150.20,150.20,180.25,161.74,721.8,883.1,802.5,2025-02-11
06:30 - 06:45,101.46,202.00,132.84,160.40,160.40,177.50,175.42,936.3,1043.6,990.0,2025-02-11
06:45 - 07:00,107.17,221.30,132.52,171.66,171.66,182.64,181.74,1231.3,1201.2,1216.3,2025-02-11
07:00 - 07:15,71.00,188.49,83.50,147.95,147.95,148.91,158.53,926.2,1037.0,981.6,2025-02-11
07:15 - 07:30,69.91,196.60,95.30,160.02,160.02,170.59,177.04,838.2,933.1,885.7,2025-02-11
07:30 - 07:45,95.97,212.32,145.01,171.67,171.67,162.15,183.97,919.5,983.4,951.5,2025-02-11
07:45 - 08:00,112.22,215.02,150.00,175.08,175.08,155.03,180.41,1059.8,1083.1,1071.5,2025-02-11
08:00 - 08:15,-86.70,452.00,452.00,183.77,183.77,162.74,186.38,767.3,772.2,769.8,2025-02-11
